acao_conservacao_id,acao_conservacao
0,4.4 Protected areas
1,1.2.1.3 Sub-national level
2,1.2.1.1 International level
3,1.2.2.3 Sub-national level
4,2.1 Site/area management
5,1.1 Site/area protection
6,1.2.2.1 International level
7,3 Research actions
8,1.1.2 Implementation
9,5.1.2 National level
10,1.2.1.2 National level
11,4.4.4 Expansion
12,4.4.3 Management
13,5.7.1 Captive breeding/Artificial propagation
14,3.8 Conservation measures
15,1.2.2.2 National level
16,3.2 Population numbers and range
17,5.7 Ex situ conservation actions
18,4.4.1 Identification of new protected areas
19,3.4 Habitat status
20,Patricia da Rosa
21,4.3 Corridors
22,1 Land/water protection
23,Lucas Moraes
24,5.1 Re-introductions
25,4.4.2 Establishment
26,5.1.3 Sub-national level
27,5.1.1 International level
28,4.3 Awareness & communications
29,5.4.2 National level
30,5.4.1 International level
31,3 Species management
32,5 Law & policy
33,17. Unknown
34,3.1 Taxonomy
35,5 Species-based actions
36,3.4 Ex-situ conservation
37,2.3 Habitat & natural process restoration
38,3.3 Biology and Ecology
39,1.2.2 Implementation
40,1 Policy-based actions
41,2 Land/water management
42,4 Education & awareness
43,"6 Livelihood, economic & other incentives"
44,1.2 Resource & habitat protection
45,4.1 Maintenance/Conservation
46,3.6 Uses and harvest levels
47,4.2 Restoration
48,3.3.1 Reintroduction
49,4 Habitat and site-based actions
50,2 Communication and Education
51,1.2 Legislation
52,1.1 Management plans
53,5.3.1 Harvest management
54,5.3 Sustainable use
55,5.4 Recovery management
56,2.2 Awareness
57,"Liana conhecida por registros efetuados nos municípios de Niterói, Italva e Rio de Janeiro, no norte fluminense, foi recentemente coletada no Parque Estadual da Serra da Tiririca pela campanha “Procura-se” (CNCFlora/JBRJ/SEA). É possível suspeitar, com base nas informações fornecidas pelos especialistas, que a espécie tenha subpopulações bem pontuais e com poucos indivíduos, uma vez que suas sementes, desprovidas de arilo, parecem estar adaptadas à dispersão em curtas distâncias e seu tempo de geração foi estimado em cerca de 60 meses. Lírio e Freitas (com. pess.) também indicaram a existência de três subpopulações conhecidas, além de reportarem a provável extinção da subpopulação documentada historicamente na cidade do Rio de Janeiro. Essa subpopulação possivelmente desapareceu após o acelerado processo de expansão urbana pelo qual a cidade passou, principalmente nas localidades que costumava ocupar. A subpopulação encontrada dentro dos limites do Parque Estadual da Serra da Tiririca, apesar da aparente estabilidade, encontra-se vulnerável aos efeitos do turismo desordenado e à consequente degradação de seu hábitat. Com EOO=3359 km², AOO=36 km², subpopulações apresentando distribuição pontual e sujeitas a menos de cinco situações de ameaça, suspeita-se que esteja havendo declínio contínuo da EOO, AOO, qualidade do hábitat e número de subpopulações."
58,3.9 Trends/Monitoring
59,3.2 Species recovery
60,9. Construction/structural materials
61,5.4.3 Sub-national level
62,3.4.1 Captive breeding/artificial propagation
63,Eduardo Fernandez
64,16. Other
65,6 Other
66,4.1 Formal education
67,Rodrigo Amaro
68,5.8 Other
69,3.1.2 Trade management
70,Tainan Messina
71,Raquel Negrão
72,"13. Pets/display animals, horticulture"
73,5.7.2 Genome resource bank
74,1.3 Community management
75,"Árvore com até 30 m conhecida popularmente como “merindiba” ou “guarajuba” (BFG, 2015), a espécie, descrita originalmente em 1846, representa um endemismo restrito do estado do Rio de Janeiro. Ocorre especificamente nas florestas da região centro-sul do território fluminense, nas faixas altitudinais que variam entre o nível do mar até cerca de 650 m de altitude (Stace, 2010; BFG, 2015; Fernandez, 2016), em diferentes bairros da cidade do Rio de Janeiro (Campo Grande, Gávea, Grumari, Jardim Botânico, Laranjeiras, Recreio dos Bandeirantes, Taquara), na Floresta da Tijuca e nos municípios de Niterói (Parque Estadual da Serra da Tiririca), Maricá (Serra de Inoã) e Paty do Alferes (distrito de Avellar). Apresenta distribuição restrita (EOO=2714 km²; AOO=64 km²) e população severamente fragmentada, considerando as localidades de ocorrência. A espécie possui valor econômico como madeira de lei, própria para construção civil e naval (cascos de embarcações e pontes), vigas, traves, obras internas, tabuados, calhas para engenhos e carpintaria em geral (Allemão, 1844; Marquete et al., 2003). Foi utilizada extensivamente para confecção de canoas em algumas áreas costeiras do Recreio dos Bandeirantes e de Guaratiba, de acordo com informações repassadas por moradores locais (Fernandez, 2016). A espécie, que não era encontrada na natureza desde 1942 (J.G. Kuhlmann 6237), foi redescoberta em 2015 (Fernandez, 2016) em remanescentes florestais da cidade do Rio de Janeiro. Posteriormente, foram realizados esforços de campo direcionados para localizar novos indivíduos e subpopulações, além de estudo demográfico e genético (Fernandez, 2016). Ao todo, foram identificados 219 indivíduos, classificados quanto a sua estrutura etária. Desse total, 70 (31%) foram considerados maduros. A maior subpopulação encontra-se dentro dos limites do Parque Nacional (Parna) da Tijuca, contando mais de 100 indivíduos, cerca de 40% maduros. Assim, estima-se que o número total de indivíduos maduros dessa subpopulação seja inferior a 250. Considerando dados históricos referentes à abundância original da espécie nas baixadas litorâneas do estado do Rio de Janeiro, aliados a evidências que indicam o corte seletivo intensivo da sua madeira de lei de alto valor, estima-se uma redução populacional superior ou igual a 50%, nas últimas três gerações (90 anos). Devido à escassez verificada a partir do início do século XX, sua madeira, aparentemente, deixou de ser retirada de forma extensiva da natureza (Fernandez, 2016). Porém, as árvores ainda estão sujeitas a corte devido à expansão urbana, como no caso do registro recente em que C. Baez (com. pess.) reportou a presença de um único indivíduo relictual em fragmento florestal em vias de ser suprimido em virtude do estabelecimento de novo loteamento habitacional no bairro de Campo Grande, Zona Oeste da cidade do Rio de Janeiro, o que  pode vir a representar mais uma potencial extinção local. Portanto, infere-se um declínio contínuo da EOO, AOO, extensão e qualidade de habitat, número de subpopulações e de indivíduos maduros, considerando o conjunto de ameaças incidentes (passado e presente) sobre a população remanescente, formado por: exploração histórica de sua madeira; vetores de estresse como agricultura (plantações de banana, mandioca, coco e plantas ornamentais), que demandam supressão total ou parcial do sub-bosque, nas regiões de Campo Grande e Grumari (Fernandez, 2016); expansão urbana em todo o município do Rio de Janeiro e em especial no Maciço da Tijuca (Fernandes et al., 1999), da Pedra Branca e da Serra da Tiririca; competição por recursos com espécies invasoras de alto poder competitivo, mesmo dentro de áreas protegidas como o Parna Tijuca (Abreu e Rodrigues, 2010); e proximidade de estradas, trilhas e pisoteio de mudas, tanto por animais selvagens e domésticos quanto por seres humanos (Fernandez, 2016). A espécie foi documentada dentro de diversas Unidades de Conservação, de distintas esferas administrativas e níveis de proteção (oito de proteção integral e duas de uso sustentável), além de áreas privadas usualmente localizadas adjacentes aos limites das áreas legalmente protegidas. Porém, para conter o declínio contínuo inferido, é urgente o planejamento de ações de conservação in situ para proteção efetiva de todas as localidades em que a Guarajuba ocorre, tanto para salvaguardar seus indivíduos remanescentes como também indivíduos de outras espécies ameaçadas que habitam as mesmas localidades e estão sujeitas às mesmas situações de ameaças. Atualmente, há seis indivíduos maduros cultivados no Jardim Botânico do Rio de Janeiro, porém, os mesmos apresentam baixa diversidade genética em relação às subpopulações naturais (Fernandez, 2016). Logo, ações de conservação ex situ adicionais devem ser empreendidas para complementar o limitado pool genético compreendido pelos espécimes cultivados no arboreto do Jardim Botânico do Rio de Janeiro. Além disso, ações de pesquisa que envolvam estudos genéticos e reprodutivos mais detalhados devem ser empreendidas a fim de se compreender o atual cenário de aparente deriva gênica e de provável endogamia frente ao isolamento dos remanescentes, devido ao aparentemente reduzido fluxo gênico entre as subpopulações."
76,Lucas Moulton
77,5.1 Legislation
78,3.1 Species management
79,3. Medicine - human and veterinary
80,3.3 Species re-introduction
81,"A espécie é um subarbusto terrícola com distribuição restrita (AOO=8 km²) em Campos de Altitude (BFG, 2015). Conta com dois registros de coleta, um de A.F. Glaziou (século XIX – XX) na Serra dos Órgãos e outro recente, de 2015, no Pico Médio do Parque Estadual dos Três Picos, no município de Teresópolis. A subpopulação do Parque Estadual dos Três Picos apresenta cinco indivíduos maduros. As ameaças que incidem sobre a espécie são os incêndios de origem natural e antrópica, sendo registrada a queima de 474 ha de área do Parque Nacional da Serra dos Órgãos em um período de oito anos (1999-2006) (ICMBio, 2008). A presença de espécies exóticas também é reconhecida como uma ameaça ao táxon e às demais espécies de Campos de Altitude (Inea, 2009; Viana e Rocha, 2009). Mesmo com a recente descoberta da pequena subpopulação de cinco indivíduos do Parque Estadual dos Três Picos, a população total é menor do que 50 indivíduos maduros. A espécie encontra-se sob uma situação de ameaça considerando o aumento generalizado da frequência de incêndios no Parque Nacional da Serra dos Órgãos e em declínio contínuo de AOO, qualidade de hábitat e de número de subpopulações. Caso medidas de conservação in situ e/ou ex situ não sejam tomadas, a espécie poderá ser extinta em curto período de tempo."
82,3.7 Cultural relevance
83,Luiz Santos
84,Luiz Santos Filho
85,7. Fuel
86,5.2 Policies and regulations
87,"Erva rupícola endêmica do estado do Rio de Janeiro, com ocorrência em Floresta Ombrófila (BFG, 2015), a espécie apresenta EOO=33 km², AOO=12 km² e uma situação de ameaça. Foram identificadas três subpopulações, com um total de cerca de 250 indivíduos. Desenvolve-se em áreas declivosas, diretamente sobre Afloramentos Rochosos ou de solo bastante raso, em áreas sombreadas, úmidas, sobre ou próxima a rochas. Além de apresentar especificidade de hábitat, em uma dessas áreas os indivíduos estão muito próximo à linha do trem (cerca de 50 m) e, nas outras, foi registrada a presença de gado (Baez e Moraes, com. pess.). No município de Miguel Pereira, a Mata Atlântica encontra-se reduzida a 31% da sua área original (SOS Mata Atlântica, INPE, 2014). Há nesse município o predomínio de matriz de pastagem onde estão imersos fragmentos de vegetação secundária e poucos remanescentes florestais (SEA, Inea, 2011), já bastante fragmentados. Embora esteja presente em Unidade de Conservação, na APA Guandu está sendo realizada uma obra, com a retirada de trilhos da antiga estrada de ferro e alargamento do leito para a implantação de uma área de recreação. Nesse caso, a espécie vistosa, com potencial ornamental, também está sujeita à coleta. Com base nessas ameaças de alta severidade à espécie, conhecida apenas pela presença neste local, considera-se um declínio contínuo projetado de EOO, AOO, qualidade do hábitat, número de subpopulações e de indivíduos maduros, caso medidas de conservação não venham a ser tomadas."
88,3.5 Threats
89,1.1.1 Development
90,"Árvore de até 30 m, com registro de coleta realizado em Floresta de Terra Firme e Floresta Ombrófila (Floresta Pluvial) na Amazônia no Brasil, Peru e Equador (Salomão e Rosa, 2012). Entretanto, de acordo com dados da Flora do Brasil 2020 em construção (2020), a espécie é endêmica do Brasil, com registros confirmados atualmente nos estados do Pará, municípios de Itaiutuba e Vitória do Xingu, e Maranhão, município de Buriticupu. Popularmente conhecida por cravo-de-Maranhão, pau-cravo, cravo-amarelo, canela-cravo, canela-falsa, entre outros, D. caryophyllaceum corresponde a uma das mais notórias Drogas do Sertão, o conjunto de especiárias exploradas pelos colonizadores portugueses durante o século XVIII na Amazônia brasileira (Salomão e Rosa, 2012). A espécie era muito frequente em diversas localidades até meados de 1700, quando passou a ser explorada de forma indiscrimidada pelas suas especiárias de alto valor no mercado e também pela sua madeira de lei, de ampla aplicação e valor economico (Salomão e Rosa, 2012).  O método de extração da casca do pau-cravo, consistia, basicamente, no corte das árvores, o que contribuíu fortemente para a redução das suas subpopulações (Ferreira, 1983; Salomão e Rosa, 2012). Entretanto, diante de tamanha pressão seletiva durante mais de doias séculos,  só foi registrada três vezes, de forma esparsa, durante o séceulo XX, a última delas representando a redescoberta da espécie no Pará, dentro da Área de nfluência Direta da UHE de Belo Monte, após mais de 40 anos sem documentação. Salomão e Rosa (2012) avaliarm a abundância de pau-cravo em Juruti e determinou esta subpopulação como rara: tinha-se conhecimento de apenas um exemplar de D. caryophyllaceum com 9 metros de altura, registrado em 2008 no local onde foi feitos um dos canais de derivação da usina de Belo Monte. Mais 20 indivíduos da espécie foram encontrados no mesmo ano na região pela mesma equipe que levantou os impactos ambientais da construção da hidrelétrica. Outros 189 indivíduos foram observados no município de Juruti, revelando a maior concentração já registrada na Amazônia desde o século XVIII. Os autores indicam ainda que as árvores ficam em uma área onde deverá haver concessões florestais, o que amplia o seu risco de extinção e acentua aida mais seu declínio populacional.  A própria construção da barragem causa grande impacto na biodiversidade, podendo levar à restrição do fluxo gênico de plantas, deteriorando a diversidade funcional e genética ao longo do tempo e expondo as subpopulações às drásticas mudanças no ambiente  (Lemos et al., 2015; Salomão e Rosa, 2012). Nos últimos 30 anos, a vegetação presente na Área de Influência Direta da Usina de Belo Monte vem sofrendo acentuado desmatamento, visto que 35% estão alterados, restando apenas pequenos trechos de floresta integras (Ministério de Minas e Energia - MME, 2009)."
91,3.4.2 Genome resource bank
92,Caleb de Lima Ribeiro
93,5.1.4 Scale unspecified
94,3.10 Other
95,1.2.1 Development
96,4.5 Community-based initiatives
97,Eduardo Amorim
98,1.3.1 Governance
99,2.2 Invasive/problematic species control
