ameaca_id,ameaca
0,7.1.1 Increase in fire frequency/intensity
1,1.1 Agriculture
2,1.1.2 Wood plantation
3,1.1.4 Livestock
4,1 Habitat Loss/Degradation (human induced)
5,2.1.2 Small-holder farming
6,1.3 Tourism & recreation areas
7,1.1 Housing & urban areas
8,2 Agriculture & aquaculture
9,2.3 Livestock farming & ranching
10,"2.3.2 Small-holder grazing, ranching or farming"
11,7.1 Fire & fire suppression
12,4.1 Roads & railroads
13,9.5 Air-borne pollutants
14,8.4.2 Named species
15,2.2 Wood & pulp plantations
16,5.2 Gathering terrestrial plants
17,2.3.4 Scale Unknown/Unrecorded
18,2.1.4 Scale Unknown/Unrecorded
19,1.3.3 Wood
20,1.4 Infrastructure development
21,10.5 Fire
22,2 Invasive alien species (directly affecting the species)
23,1.7 Fire
24,10 Human disturbance
25,7 Natural disaster
26,8.1 Invasive non-native/alien species/diseases
27,1.3.1 Mining
28,1.4.3 Tourism/recreation
29,10.1 Recreation/tourism
30,5.3 Logging & wood harvesting
31,1 Residential & commercial development
32,3.2 Mining & quarrying
33,2.1.3 Agro-industry farming
34,7.2.10 Large dams
35,"2.3.3 Agro-industry grazing, ranching or farming"
36,1.1.4.3 Agro-industry
37,1.1.1.1 Shifting Agriculture
38,1.5 Invasive alien species (directly impacting habitat)
39,1.4.8 Power line
40,1.3.3.2 Selective logging
41,1.3.4 Non-woody vegetation collection
42,3.3 Fuel
43,9.9 Restricted range
44,1.1.4.2 Small-holder
45,1.3 Extraction
46,3 Harvesting (hunting/gathering)
47,"13. Pets/display animals, horticulture"
48,1.1.2.2 Large-scale
49,9.1 Limited dispersal
50,9.2 Poor recruitment/reproduction/regeneration
51,1.1.3.2 Large-scale
52,1.1.1.3 Agro-industry farming
53,1.4.2 Human settlement
54,1.4.6 Dam
55,1.1.1 Crop
56,1.4.4 Transport - land/air
57,1.2.2 Change of management regime
58,2.1 Annual & perennial non-timber crops
59,9.1.1 Sewage
60,9.1.3 Type Unknown/Unrecorded
61,8.1.1 Unspecified species
62,2.2.3 Scale Unknown/Unrecorded
63,2.2.2 Agro-industry plantations
64,5.2.4 Motivation Unknown/Unrecorded
65,5.3.5 Motivation Unknown/Unrecorded
66,5.3.1 Intentional use: subsistence/small scale (species being assessed is the target) [harvest]
67,6.1 Atmospheric pollution
68,7.3 Other ecosystem modifications
69,7.2 Dams & water management/use
70,8.2.2 Named species
71,5.1.2 Unintentional effects (species being assessed is not the target)
72,1.2 Commercial & industrial areas
73,5.3.2 Intentional use: large scale (species being assessed is the target) [harvest]
74,9 Intrinsic factor
75,9.5 Low densitie
76,9.1 Domestic & urban waste water
77,9 Pollution
78,11.1 Habitat shifting & alteration
79,4 Transportation & service corridors
80,5.3.4 Unintentional effects: large scale (species being assessed is not the target) [harvest]
81,7.2.3 Abstraction of surface water (agricultural use)
82,7.2.11 Dams (size unknown)
83,2.2.1 Small-holder plantations
84,2.4.2 Industrial aquaculture
85,1.1 Site/area protection
86,1.1.6 Marine aquaculture
87,7.1.3 Trend Unknown/Unrecorded
88,10.3 Avalanches/landslides
89,8.1.2 Named species
90,5.2.2 Unintentional effects (species being assessed is not the target)
91,5.4.4 Unintentional effects: large scale (species being assessed is not the target) [harvest]
92,6.3.2 Domestic
93,"6.2 War, civil unrest & military exercises"
94,3.4 Material
95,6 Pollution (affecting habitat and/or species)
96,5.3.3 Unintentional effects: subsistence/small scale (species being assessed is not the target) [harvest]
97,9.4 Garbage & solid waste
98,5 Biological resource use
99,12.1 Other threat
100,8.7 Other
101,10.6 Other
102,1.3.2.3 Large-scale/industrial
103,3.5.3 Regional/international trade
104,8 Changes in native species dynamic
105,8.5 Pathogens/parasite
106,8.2 Predator
107,11 Other
108,6.3 Water pollution
109,8.3 Prey/food base
110,3.1.1 Subsistence use/local trade
111,1.6 Change in native species dynamics (directly impacting habitat
112,9.3 High juvenile mortality
113,3.1.3 Regional/international trade
114,3.1.2 Sub-national/national trade
115,3.4.2 Sub-national/national trade
116,3.3.2 Sub-national/national trade
117,3.5.2 Sub-national/national trade
118,3.4.1 Subsistence use/local trade
119,7.7 Other
120,12 Unknown
121,Rodrigo Amaro
122,6.2.1 Agriculture
123,7 Natural system modifications
124,6 Human intrusions & disturbance
125,"8 Invasive & other problematic species, genes & diseases"
126,Eduardo Fernandez
127,5.2.1 Intentional use (species being assessed is the target)
128,1.3.3.1 Small-scale subsistence
129,5.1.2 National level
130,5.1.3 Sub-national level
131,1.1.4.1 Nomadic
132,6.1.1 Global warming/oceanic warming
133,3 Energy production & mining
134,1 Land/water protection
135,3.2.2 Sub-national/national trade
136,17. Unknown
137,1.3.3.3 Clear-cutting
138,2.1 Site/area management
139,7.4 Wildfire
140,3.2.3 Regional/international trade
141,1.2 Land management of non-agricultural area
142,1.1.3 Non-timber plantation
143,3.5 Cultural/scientific/leisure activitie
144,3.4.3 Regional/international trade
145,1.3.2.2 Artisinal/small-scale
146,1.3.2.1 Subsistence
147,Lucas Moraes
148,Raquel Negrão
149,3.4 Ex-situ conservation
150,1.2 Resource & habitat protection
151,9.2.2 Seepage from mining
152,4.2 Utility & service lines
153,7.2.8 Abstraction of ground water (unknown use)
154,7.6 Avalanches/landslide
155,4.3 Shipping lanes
156,5.1 Hunting & collecting terrestrial animals
157,6.1 Recreational activities
158,Lucas Moulton
159,1.3.8 Unknown
160,2.1 Competitor
161,5.4.3 Unintentional effects: subsistence/small scale (species being assessed is not the target) [harvest]
162,7.2.9 Small dams
163,Patricia da Rosa
164,2.3 Hybridizer
165,4.3 Awareness & communications
166,5.1.1 Intentional use (species being assessed is the target)
167,1.4.7 Telecommunication
168,6.3.1 Agriculture
169,7.3 Temperature extreme
170,11.5 Other impacts
171,1.1.1.2 Small-holder farming
172,2.1.1 Shifting agriculture
173,5.4.2 National level
174,3.1 Oil & gas drilling
175,2.3 Habitat & natural process restoration
176,3.4.1 Captive breeding/artificial propagation
177,1.1.5 Abandonment
178,1.1.2.1 Small-scale
179,2.3.1 Nomadic grazing
180,9.1.2 Run-off
181,Mário Gomes
182,6.2 Land pollution
183,9.4 Inbreeding
184,2.4 Pathogens/parasite
185,3. Medicine - human and veterinary
186,9.8 Population fluctuation
187,1.4.1 Industry
188,11.2 Droughts
189,2.2 Predator
190,5 Law & policy
191,4 Education & awareness
192,3.2 Species recovery
193,2 Land/water management
194,3.3 Renewable energy
195,3.2.1 Subsistence use/local trade
196,10.3 War/civil unrest
197,3.5.1 Subsistence use/local trade
198,8.6 Mutualism
199,1.4.5 Transport - water
200,9. Construction/structural materials
201,5.1.1 International level
202,8.4 Hybridizer
203,9.10 Other
204,3.3.1 Subsistence use/local trade
205,6.3.3 Commercial/Industrial
206,10.4 Transport
207,1.3.6 Groundwater extraction
208,1.1.3.1 Small-scale
209,11 Climate change & severe weather
210,5.1.4 Motivation Unknown/Unrecorded
211,1.2.1 Abandonment
