avaliacao_id,acao_conservacao_id
1,0
1,1
2,0
2,2
2,1
3,0
3,1
4,0
4,2
4,1
5,1
5,0
6,0
6,2
6,1
7,0
7,1
8,0
8,3
9,4
9,5
10,0
10,6
10,1
11,0
11,1
12,5
13,0
13,1
14,0
14,1
15,1
16,1
17,5
18,0
18,1
19,5
20,0
20,1
21,1
22,1
23,1
23,0
24,0
24,1
25,1
25,0
26,5
27,0
27,1
28,0
28,7
28,1
29,0
29,1
30,5
31,5
32,5
33,0
33,1
34,1
35,0
35,1
36,1
36,0
37,1
37,0
38,0
38,1
39,0
39,1
40,0
41,0
41,1
42,1
43,0
43,1
44,0
44,1
45,1
46,1
47,1
47,0
48,0
48,8
48,1
49,1
50,1
51,0
51,1
52,0
52,1
53,1
54,1
54,0
55,5
55,9
56,10
56,0
56,11
57,5
58,10
58,0
59,10
59,0
60,10
61,10
62,10
63,10
64,1
65,5
65,4
67,5
68,9
68,9
68,5
69,1
69,8
70,0
70,1
70,1
71,1
71,1
72,0
72,1
73,1
73,12
74,1
74,0
75,1
75,0
76,10
77,10
78,10
79,10
79,1
80,1
80,0
81,1
81,0
82,10
83,10
84,10
84,0
85,10
85,0
86,13
86,1
87,10
87,14
88,1
89,3
90,1
91,1
92,1
93,1
94,3
95,1
96,3
97,1
98,1
98,0
99,1
99,1
100,1
100,0
101,1
102,1
102,0
103,10
103,0
103,14
104,1
105,10
106,15
106,0
106,16
107,10
107,0
107,17
107,7
108,1
109,1
110,10
110,14
110,7
110,0
110,18
111,3
112,10
112,7
112,0
112,17
113,1
113,0
114,1
115,1
116,1
117,10
117,0
117,7
117,17
118,1
118,19
119,3
119,16
120,1
121,1
121,0
122,1
122,0
123,1
124,10
125,0
125,17
125,10
125,14
126,1
126,0
127,1
128,1
128,0
129,1
129,12
130,10
130,14
130,0
131,10
131,12
132,1
133,10
133,16
133,0
134,20
135,10
135,1
135,11
136,10
136,0
137,1
137,13
137,16
137,21
137,18
138,22
139,10
139,0
140,10
141,10
141,0
142,10
142,0
142,13
144,10
144,0
145,10
146,10
146,7
146,0
147,10
147,13
148,1
148,0
149,10
151,10
152,10
152,1
153,1
153,10
153,0
154,10
154,0
155,23
156,1
157,10
157,1
157,24
157,16
157,0
158,1
160,10
161,1
161,25
162,9
162,5
163,3
164,5
165,5
166,9
166,5
167,22
168,9
168,9
168,26
168,9
169,15
169,15
170,5
170,9
171,3
172,5
173,5
174,9
174,5
175,15
175,3
175,3
175,15
176,5
177,3
178,5
179,9
179,9
179,9
179,5
180,27
180,9
181,15
181,15
182,6
183,5
183,9
184,5
184,9
184,9
185,5
185,4
186,9
186,5
187,9
187,5
188,5
189,5
190,5
190,28
191,9
191,5
192,9
192,9
192,9
192,9
192,5
193,5
194,5
195,5
196,9
196,9
196,5
197,9
197,9
197,5
198,10
198,0
199,10
200,1
200,0
201,1
202,10
203,10
203,0
204,1
204,18
205,1
205,0
206,0
206,1
207,5
208,5
209,5
211,10
212,5
212,9
213,9
213,9
213,5
215,2
216,10
217,0
217,1
218,2
219,1
220,1
221,5
221,9
222,1
223,29
223,30
223,5
224,5
225,1
228,1
229,1
230,5
231,22
231,9
232,5
232,9
232,9
233,5
234,5
234,9
235,1
236,1
237,5
237,9
237,9
238,6
239,9
239,26
239,9
239,31
240,22
241,0
241,10
242,22
245,9
245,5
246,22
247,22
249,5
250,9
250,5
251,1
252,5
252,9
253,0
254,1
255,22
256,5
256,9
257,22
258,22
259,5
260,9
260,5
261,5
262,5
263,9
263,5
263,4
264,9
264,5
265,22
265,9
266,5
268,5
268,9
268,9
268,26
269,22
269,9
270,5
270,9
271,9
271,5
272,22
273,5
273,9
274,5
275,1
275,1
275,1
275,10
275,0
276,15
277,22
277,9
279,22
280,22
281,5
281,9
281,9
282,22
283,22
284,22
284,9
285,22
286,1
287,22
288,5
289,1
290,5
291,1
292,0
292,1
294,1
296,9
296,5
297,5
298,9
298,5
298,4
299,9
299,5
300,32
300,5
300,4
301,5
301,9
301,9
301,26
301,4
302,9
302,5
302,4
303,5
304,10
305,5
306,1
307,9
307,9
307,5
308,22
309,5
309,9
310,22
311,9
311,5
312,5
313,5
314,5
316,22
317,5
317,9
318,22
319,9
319,9
320,22
321,22
321,9
322,22
323,22
324,5
325,5
325,9
326,5
327,1
328,5
329,32
329,22
330,5
330,9
331,22
332,22
333,9
333,5
334,5
335,5
336,5
336,9
337,5
337,9
338,5
339,5
341,1
342,1
343,1
344,1
345,1
346,1
346,0
347,1
347,0
348,1
348,0
349,1
350,33
351,1
351,0
352,1
352,0
353,1
354,1
355,1
355,0
356,1
357,1
358,1
359,1
360,1
361,1
361,0
362,1
363,1
363,0
364,22
365,1
365,1
366,1
366,0
367,1
368,1
368,34
369,9
369,5
370,1
371,9
371,5
372,5
372,9
372,9
373,22
374,5
376,5
377,1
377,35
378,1
379,5
379,9
379,9
379,9
380,9
380,5
381,9
381,5
381,9
382,9
382,5
383,9
383,5
385,1
386,9
386,5
387,9
387,5
388,1
389,9
389,5
390,5
391,9
391,5
392,5
392,9
392,9
392,9
393,1
393,2
394,1
395,1
396,9
396,5
397,1
397,1
398,5
399,9
399,9
399,5
400,1
401,1
402,22
403,1
404,9
404,5
405,1
405,0
406,1
407,10
408,9
408,5
409,15
410,15
411,15
412,10
414,22
415,15
416,15
416,3
417,15
417,0
418,3
419,3
420,22
421,15
421,3
422,3
423,22
425,5
425,9
425,9
426,9
426,22
427,1
428,1
429,3
429,0
430,3
431,15
432,1
433,1
434,22
434,5
435,9
435,9
435,5
436,9
436,5
437,5
437,9
437,9
438,22
439,3
440,3
441,1
442,5
444,9
444,5
445,1
445,25
445,24
445,17
447,9
447,5
448,5
449,1
449,1
451,1
451,25
452,1
453,1
453,0
454,1
455,1
456,1
457,36
458,1
459,10
460,15
461,3
461,3
462,1
463,10
463,1
464,15
465,15
466,3
467,15
468,15
469,15
470,10
471,3
472,3
473,15
474,15
475,15
476,15
477,15
478,15
479,5
480,15
481,22
482,3
482,15
483,10
484,9
484,5
485,22
486,3
488,3
488,0
489,1
489,12
490,1
491,1
492,22
493,1
494,1
495,1
496,10
497,1
499,1
501,1
502,1
504,9
504,5
505,1
505,0
506,3
507,25
507,1
508,1
509,1
510,1
511,22
511,5
512,22
512,5
513,22
515,5
515,9
515,9
515,26
515,9
516,25
516,1
517,5
518,5
519,27
519,9
520,2
521,1
522,1
523,5
523,4
524,5
524,9
524,9
526,5
526,9
526,9
527,9
527,9
527,31
528,5
528,9
528,9
529,3
530,9
530,5
531,22
531,5
532,5
532,9
534,5
535,15
535,0
536,5
536,9
536,9
536,9
537,6
537,0
538,5
539,6
540,22
541,15
542,5
543,9
543,5
544,5
544,37
545,5
545,9
545,9
546,22
546,36
547,22
547,36
548,22
549,38
549,39
550,25
550,40
550,1
551,23
552,0
552,39
554,1
554,0
555,1
555,0
556,1
556,0
557,0
557,1
558,0
558,10
559,22
560,22
561,1
561,0
561,1
562,22
563,22
564,22
565,39
565,0
566,1
566,0
567,0
567,1
568,1
570,22
571,22
572,1
572,0
573,22
574,1
575,1
575,0
576,1
576,0
577,1
578,1
578,0
579,1
579,0
579,10
580,10
580,7
580,0
581,1
582,22
583,22
584,1
584,0
586,22
587,1
587,0
588,22
589,10
589,1
590,1
590,0
591,1
591,0
592,1
592,0
593,1
594,5
595,1
595,0
596,5
597,5
598,5
599,1
599,0
600,22
601,9
601,5
602,1
602,0
603,22
604,5
604,26
605,5
606,5
607,22
607,5
608,5
609,5
609,28
609,9
610,5
610,9
611,1
612,22
612,32
613,33
614,10
614,0
615,10
615,0
616,5
616,9
617,22
617,32
618,5
618,9
618,9
618,9
619,5
619,9
620,32
621,5
623,5
623,9
624,32
625,5
625,9
627,41
628,5
629,1
630,1
631,1
633,0
633,10
634,1
634,0
635,5
636,5
637,5
637,29
638,22
638,31
638,42
638,32
638,43
639,9
639,9
639,44
639,26
641,2
642,10
642,45
642,17
642,13
643,10
644,2
644,13
645,2
646,10
646,13
647,7
647,10
647,46
647,47
647,40
647,13
647,17
648,13
648,2
648,1
648,1
648,0
649,13
649,1
650,2
651,2
651,17
652,1
652,17
653,10
653,13
653,45
653,47
654,2
654,10
654,1
654,13
655,0
655,1
655,10
656,1
656,17
657,17
657,1
657,14
658,10
658,2
658,3
658,0
658,18
658,13
659,48
659,26
660,10
660,17
661,10
661,1
662,1
662,13
663,45
663,49
663,50
663,12
663,2
663,10
664,10
664,17
665,45
665,17
665,10
665,1
665,51
665,1
665,52
665,53
666,54
666,0
666,1
666,17
666,55
667,14
667,1
667,13
668,2
668,17
668,56
669,2
670,2
670,1
670,17
671,2
671,17
672,2
672,10
672,1
672,17
673,10
674,2
674,10
674,17
674,0
675,2
675,13
676,1
676,45
676,45
676,13
676,17
676,0
677,2
677,10
677,1
677,13
678,1
678,13
678,17
679,2
679,13
681,5
681,36
681,36
682,2
682,10
682,1
682,13
682,17
683,2
683,13
684,1
685,1
685,0
686,1
687,0
687,1
688,1
688,0
689,1
689,1
690,57
692,1
692,0
693,1
693,0
693,12
693,16
694,10
695,1
695,0
696,10
696,1
697,10
697,1
698,0
698,1
699,22
700,10
700,0
701,1
701,0
702,1
702,0
703,0
703,10
703,10
703,1
704,10
705,1
706,1
706,0
707,1
707,0
708,10
709,1
710,1
711,5
712,32
713,5
713,9
713,9
714,5
714,4
714,26
715,32
715,32
715,22
716,5
716,4
717,9
717,9
718,22
718,5
719,5
719,4
720,9
720,5
720,4
721,10
721,7
722,10
722,58
723,1
723,10
723,49
724,15
724,58
724,0
725,10
725,17
726,10
726,0
727,1
727,10
727,0
728,10
728,17
729,50
729,17
729,10
730,10
731,9
731,26
731,9
731,32
732,22
732,41
733,10
733,7
734,1
735,1
736,1
736,0
737,1
737,0
738,1
738,0
739,1
740,1
741,1
742,1
742,0
743,0
743,1
744,1
745,1
746,1
746,0
747,10
748,1
749,1
750,0
750,1
750,10
751,1
752,10
753,1
753,10
754,1
755,3
756,1
757,1
757,0
758,22
759,22
759,22
761,1
761,0
763,3
765,10
765,0
767,1
767,0
768,1
768,10
770,3
771,1
772,1
772,0
773,1
773,0
774,1
775,1
776,1
776,0
776,15
778,22
779,0
779,15
780,1
781,1
781,0
782,1
782,0
784,3
785,1
786,10
786,0
787,3
788,0
788,10
789,1
789,0
790,3
790,10
790,0
790,17
791,3
791,0
792,1
793,1
793,0
794,1
794,10
794,0
794,17
795,3
795,0
796,3
797,3
797,0
799,3
799,0
800,3
801,10
801,58
802,15
802,0
803,1
803,0
804,10
804,0
804,14
805,1
805,0
806,10
806,0
807,0
807,1
808,0
808,1
809,1
810,1
810,0
811,10
811,0
812,3
812,0
813,3
814,3
815,32
815,22
815,32
815,32
816,1
817,1
817,0
818,1
819,1
819,0
821,5
821,9
822,0
822,1
823,3
823,0
826,10
827,22
828,1
828,38
828,10
829,1
829,0
830,15
831,39
832,1
832,0
833,10
834,15
835,15
836,15
837,15
838,1
839,1
839,0
840,0
840,1
841,15
841,0
842,1
843,1
844,1
845,22
846,5
846,9
846,9
847,22
848,59
849,5
850,0
850,1
851,22
852,0
852,3
853,5
853,9
853,9
854,5
855,5
857,32
857,22
857,32
857,32
858,60
859,32
859,22
859,32
859,32
860,32
860,22
860,32
860,32
861,22
861,9
862,22
862,9
863,15
864,1
864,0
865,20
867,15
868,22
869,22
870,3
871,1
871,0
872,1
873,1
873,10
873,0
874,9
874,5
875,9
875,5
876,9
876,5
876,9
877,3
877,0
878,1
879,1
879,0
880,10
881,1
882,3
883,1
884,1
884,0
885,5
885,4
886,39
886,25
887,15
887,1
887,58
888,10
889,1
889,10
889,0
889,17
890,10
890,0
891,15
891,38
891,0
892,1
892,0
893,1
894,3
894,0
895,3
895,0
896,0
896,1
897,1
897,0
898,10
898,0
900,1
900,0
901,10
901,0
902,1
902,0
903,1
903,0
904,1
905,10
905,0
907,22
908,10
908,0
909,0
909,10
910,1
910,0
911,1
911,1
911,0
912,1
912,1
913,1
914,10
914,0
915,1
915,0
916,1
916,0
917,22
918,0
918,1
919,0
919,10
920,1
920,0
921,1
921,0
922,1
922,0
923,1
923,12
924,10
924,0
925,1
925,0
926,1
926,0
927,1
927,0
928,1
928,0
929,1
930,10
931,1
932,1
932,0
933,32
933,22
933,32
933,32
934,1
934,0
936,1
937,10
937,3
937,0
939,9
939,5
939,9
940,22
940,32
940,32
940,32
941,9
941,26
941,9
941,5
942,32
942,22
942,32
942,32
943,9
943,26
943,5
943,9
943,32
944,9
944,9
945,32
945,32
946,5
946,9
946,9
946,26
947,0
947,1
948,10
948,0
949,32
949,22
949,32
949,32
950,32
950,22
950,32
950,32
951,1
951,0
952,32
952,22
952,32
952,32
953,9
953,5
954,9
954,26
954,5
954,9
955,9
955,5
956,9
956,61
956,5
956,9
957,10
957,0
958,10
958,0
959,10
959,0
960,32
960,32
961,10
961,0
962,5
963,5
963,9
963,32
964,5
964,28
964,9
965,9
965,5
966,3
966,0
967,1
967,0
968,22
969,10
970,1
970,10
971,1
971,25
972,39
972,25
974,22
975,39
975,25
977,39
977,25
978,1
978,25
979,1
979,25
980,39
980,25
981,1
982,1
982,25
983,1
983,10
984,1
984,0
985,39
985,25
986,10
987,1
987,25
988,22
989,15
989,25
990,0
990,1
991,39
991,25
992,39
992,25
993,39
994,39
994,25
995,39
995,25
996,39
996,25
997,1
997,0
998,39
998,25
999,39
999,25
1000,1
1000,0
1002,1
1002,1
1002,0
1003,1
1005,39
1005,25
1006,39
1006,25
1007,39
1007,25
1008,39
1008,25
1009,39
1009,25
1010,1
1011,22
1012,1
1012,1
1013,1
1013,0
1014,1
1014,10
1014,0
1015,1
1015,10
1016,1
1017,9
1017,9
1017,9
1017,5
1017,26
1018,1
1018,25
1019,25
1019,1
1020,25
1020,39
1021,33
1022,1
1023,1
1023,0
1024,10
1024,49
1025,1
1026,10
1027,10
1027,0
1028,10
1029,10
1029,0
1030,22
1031,1
1031,1
1032,1
1033,1
1033,10
1034,1
1035,1
1036,5
1036,9
1036,9
1036,4
1036,31
1037,32
1037,22
1037,32
1038,22
1038,9
1039,32
1039,22
1039,32
1040,5
1040,9
1040,9
1041,32
1041,22
1042,10
1043,1
1044,1
1045,1
1045,0
1046,5
1046,9
1046,9
1046,9
1047,5
1047,9
1048,5
1048,9
1049,1
1050,5
1050,9
1050,9
1051,5
1051,9
1052,5
1052,9
1052,26
1052,9
1054,1
1055,1
1056,1
1057,1
1058,1
1059,1
1060,1
1060,0
1061,39
1061,25
1062,10
1063,1
1063,0
1064,1
1065,0
1065,10
1065,1
1066,0
1066,1
1067,1
1067,10
1067,0
1068,10
1069,10
1069,0
1070,10
1070,0
1071,10
1071,0
1072,10
1072,0
1073,10
1073,1
1073,0
1074,10
1074,0
1075,10
1075,0
1076,10
1076,0
1077,10
1077,0
1078,10
1078,0
1079,10
1080,10
1080,17
1080,1
1080,1
1081,1
1081,0
1082,10
1084,10
1084,0
1085,1
1086,10
1086,1
1086,0
1087,1
1087,0
1088,10
1088,0
1089,1
1089,1
1090,1
1090,18
1092,1
1092,0
1093,10
1093,0
1093,18
1094,18
1094,10
1094,0
1096,10
1097,10
1098,1
1099,10
1100,1
1101,0
1101,15
1102,10
1102,0
1103,39
1104,39
1104,25
1105,1
1107,10
1107,0
1108,10
1108,0
1109,22
1110,39
1111,1
1112,1
1114,18
1114,1
1114,0
1115,10
1115,0
1116,1
1116,7
1117,10
1117,0
1118,10
1118,0
1119,10
1120,10
1120,0
1121,39
1122,39
1122,25
1123,1
1124,1
1125,1
1126,10
1127,10
1128,10
1129,10
1130,39
1130,25
1131,9
1131,5
1131,32
1132,10
1133,1
1133,0
1134,1
1134,0
1135,1
1136,1
1137,1
1137,0
1139,1
1139,0
1140,1
1141,32
1141,22
1141,32
1142,1
1143,22
1143,32
1143,32
1143,32
1144,5
1144,9
1145,1
1146,1
1146,0
1147,9
1147,5
1147,28
1148,1
1149,1
1149,0
1150,0
1150,10
1151,25
1152,32
1152,22
1152,32
1153,9
1153,5
1155,0
1155,1
1156,1
1157,25
1157,1
1157,1
1157,10
1158,3
1158,25
1159,1
1159,25
1161,10
1161,3
1162,15
1162,3
1163,1
1163,17
1163,0
1164,22
1165,3
1166,22
1167,1
1167,0
1168,1
1168,0
1169,22
1170,1
1170,15
1171,1
1171,0
1172,22
1173,36
1173,22
1174,10
1174,1
1175,10
1175,0
1177,22
1178,22
1179,1
1179,17
1179,0
1180,22
1181,22
1182,10
1182,1
1182,0
1183,22
1186,1
1186,1
1186,0
1187,1
1188,1
1188,0
1189,1
1189,0
1190,1
1190,1
1191,1
1191,0
1191,17
1192,10
1192,1
1193,1
1194,1
1194,0
1195,1
1195,0
1196,1
1196,0
1198,10
1198,1
1198,0
1199,1
1200,22
1201,1
1203,22
1205,1
1206,22
1207,1
1208,1
1208,0
1209,1
1210,1
1211,1
1211,0
1212,1
1213,1
1215,36
1216,1
1216,0
1217,22
1218,22
1219,3
1219,0
1220,10
1220,1
1221,1
1222,22
1223,1
1223,0
1224,1
1225,22
1226,1
1227,1
1227,0
1229,1
1229,0
1229,17
1230,22
1231,1
1231,0
1232,1
1232,0
1233,1
1233,0
1234,1
1235,1
1236,10
1236,12
1236,10
1237,10
1237,10
1238,10
1239,1
1239,25
1240,10
1240,10
1241,1
1241,17
1241,0
1242,10
1243,10
1244,22
1245,9
1245,5
1246,1
1246,25
1247,10
1247,0
1248,29
1249,1
1249,25
1250,1
1250,25
1251,1
1251,25
1252,62
1252,5
1252,9
1252,4
1252,61
1253,5
1253,9
1253,9
1253,4
1254,22
1254,36
1254,9
1255,10
1255,25
1256,5
1256,9
1256,26
1256,4
1257,33
1258,63
1259,1
1259,25
1260,1
1260,2
1260,45
1262,60
1262,64
1263,32
1263,22
1263,32
1264,5
1264,62
1264,32
1265,9
1265,5
1265,36
1265,29
1265,32
1266,29
1266,5
1267,22
1268,22
1269,5
1270,10
1271,5
1271,27
1271,9
1271,26
1271,9
1272,5
1272,9
1272,9
1273,5
1273,29
1274,5
1274,9
1275,5
1276,10
1276,1
1277,9
1277,32
1278,9
1278,9
1279,22
1280,22
1281,1
1281,25
1282,5
1283,5
1283,9
1283,9
1284,22
1284,9
1285,9
1285,5
1286,22
1286,9
1287,5
1288,1
1288,25
1289,22
1289,9
1290,5
1290,9
1290,32
1291,5
1292,10
1292,25
1292,25
1293,10
1293,1
1293,25
1294,26
1294,36
1294,5
1294,9
1294,32
1295,1
1295,10
1295,0
1296,9
1296,5
1296,4
1297,32
1297,22
1297,32
1298,5
1299,5
1300,10
1300,25
1302,1
1302,25
1303,9
1303,27
1303,26
1303,9
1304,1
1304,12
1305,1
1305,12
1306,10
1306,0
1307,1
1307,0
1308,1
1308,0
1309,10
1310,1
1310,0
1311,1
1311,10
1311,0
1312,5
1312,9
1312,9
1314,9
1315,5
1317,5
1318,22
1319,5
1320,5
1320,9
1321,5
1322,22
1323,22
1324,22
1324,32
1325,5
1325,9
1326,22
1327,5
1329,9
1329,5
1330,1
1330,12
1332,12
1332,1
1333,9
1333,5
1334,12
1334,1
1335,1
1336,1
1337,10
1337,17
1337,38
1338,1
1338,10
1338,17
1338,0
1339,17
1339,10
1339,1
1340,1
1340,17
1340,0
1341,0
1341,1
1342,1
1342,0
1342,17
1343,10
1343,65
1343,1
1344,1
1344,0
1345,0
1345,14
1345,1
1346,5
1347,0
1347,10
1347,17
1347,65
1347,1
1348,1
1348,21
1349,1
1349,17
1350,5
1350,9
1350,5
1351,0
1351,1
1351,10
1352,1
1352,0
1353,0
1353,1
1355,0
1355,17
1355,1
1356,10
1357,21
1357,17
1357,1
1358,0
1358,65
1358,17
1358,21
1359,5
1360,10
1360,17
1361,0
1361,17
1361,1
1362,0
1362,1
1362,10
1363,36
1364,1
1364,1
1365,17
1365,1
1365,10
1366,1
1367,0
1367,1
1367,14
1368,17
1368,14
1368,1
1369,38
1369,10
1369,17
1369,34
1370,0
1370,10
1371,0
1371,10
1371,1
1372,0
1372,17
1372,1
1373,17
1373,1
1373,10
1375,0
1375,1
1376,1
1377,10
1377,1
1378,1
1380,1
1381,1
1382,21
1382,1
1383,17
1383,1
1384,17
1384,10
1386,0
1386,17
1386,1
1387,17
1387,0
1387,1
1388,0
1388,10
1388,17
1389,7
1389,17
1389,1
1389,10
1390,14
1390,0
1390,10
1390,34
1390,16
1390,1
1391,0
1391,14
1391,1
1392,5
1393,5
1393,36
1394,5
1394,9
1394,36
1394,66
1395,5
1396,0
1396,10
1396,7
1396,17
1396,1
1397,5
1398,0
1398,25
1398,10
1398,14
1399,5
1399,9
1400,5
1401,0
1401,14
1402,17
1402,21
1402,1
1403,10
1403,21
1403,14
1404,10
1404,0
1404,17
1405,0
1406,5
1406,9
1407,0
1408,0
1413,0
1413,17
1414,1
1415,0
1416,0
1418,0
1419,0
1419,17
1420,0
1420,1
1421,10
1422,1
1422,0
1424,9
1425,5
1426,12
1428,10
1429,0
1429,21
1429,10
1429,17
1430,10
1430,0
1431,21
1431,10
1431,14
1432,10
1432,0
1432,21
1433,10
1433,0
1434,0
1434,21
1434,10
1435,0
1435,13
1435,1
1436,0
1436,1
1437,5
1437,36
1438,1
1438,0
1439,1
1439,21
1439,0
1440,21
1442,0
1442,1
1442,21
1443,21
1443,1
1444,1
1444,21
1445,1
1445,0
1445,21
1446,1
1447,5
1448,17
1448,0
1448,10
1449,10
1450,1
1450,8
1451,1
1451,10
1451,7
1452,1
1452,8
1452,51
1452,17
1453,1
1453,10
1454,1
1454,10
1454,17
1455,55
1455,17
1455,10
1455,1
1455,1
1456,1
1456,1
1457,1
1457,0
1457,21
1458,1
1459,1
1459,1
1459,10
1459,21
1460,1
1461,1
1461,10
1461,17
1461,8
1461,14
1461,45
1462,1
1462,10
1462,65
1463,1
1463,17
1463,0
1463,1
1464,36
1464,5
1465,1
1465,21
1466,1
1467,1
1467,7
1468,21
1468,1
1469,1
1469,21
1469,0
1470,1
1470,10
1471,1
1472,1
1472,52
1472,0
1472,17
1473,1
1473,10
1473,17
1473,65
1474,1
1474,21
1475,10
1475,1
1476,1
1476,10
1476,14
1476,17
1477,10
1477,14
1479,10
1479,1
1479,17
1479,14
1480,10
1480,1
1480,17
1480,0
1480,14
1481,17
1481,10
1481,1
1481,14
1482,10
1482,0
1482,14
1484,10
1484,14
1485,10
1485,17
1486,17
1486,10
1486,14
1487,17
1487,10
1487,1
1489,1
1489,10
1489,0
1490,0
1491,1
1491,10
1491,1
1492,10
1493,10
1494,0
1494,1
1495,10
1496,10
1497,10
1497,17
1498,10
1498,0
1499,10
1499,0
1500,10
1500,1
1500,7
1500,0
1501,7
1501,10
1501,0
1502,0
1502,17
1502,10
1503,14
1503,3
1503,10
1504,17
1504,10
1505,17
1505,10
1505,0
1506,10
1507,10
1507,17
1508,10
1508,17
1509,10
1510,67
1512,67
1513,5
1514,1
1515,1
1515,12
1516,1
1516,10
1516,10
1517,5
1518,0
1518,13
1519,10
1521,1
1523,5
1524,1
1524,10
1527,1
1527,10
1527,18
1527,12
1527,7
1528,5
1529,1
1530,5
1530,36
1531,5
1531,36
1532,5
1533,44
1534,3
1535,1
1535,10
1536,5
1538,1
1540,5
1541,1
1542,5
1543,1
1545,36
1548,1
1548,13
1550,1
1550,0
1552,1
1552,10
1552,17
1552,12
1553,17
1553,1
1554,0
1554,10
1555,5
1558,1
1558,0
1559,1
1561,17
1561,1
1562,5
1564,5
1565,1
1566,1
1566,0
1567,5
1568,0
1568,1
1569,5
1569,36
1570,5
1571,9
1572,10
1572,1
1572,14
1572,21
1573,10
1573,0
1573,1
1574,13
1574,21
1574,10
1575,1
1575,21
1576,44
1576,5
1577,5
1577,62
1578,17
1578,21
1578,0
1578,1
1579,5
1579,9
1580,1
1580,1
1580,21
1581,21
1581,17
1581,10
1581,1
1582,5
1582,36
1583,21
1583,17
1583,1
1583,0
1584,21
1584,1
1584,0
1584,13
1585,5
1586,5
1586,36
1586,9
1587,1
1587,0
1587,21
1588,5
1588,9
1590,17
1590,7
1590,1
1591,1
1591,17
1592,1
1593,10
1593,17
1593,21
1593,1
1594,10
1595,1
1595,14
1596,21
1596,1
1596,0
1597,5
1597,36
1597,9
1599,0
1599,10
1600,1
1601,5
1602,1
1602,14
1602,0
1603,5
1603,9
1604,10
1604,0
1604,25
1606,10
1606,0
1606,13
1607,5
1608,36
1608,5
1609,5
1610,10
1610,21
1611,21
1611,1
1612,10
1612,21
1613,21
1613,10
1614,10
1614,21
1615,18
1615,1
1615,0
1615,21
1616,10
1616,0
