ipc_id,ipc_code
0,A01D44/00
1,A01G31/02
2,A01G33/00
3,A01N47/44
4,A01N65/00
5,A01N65/04
6,C07K14/415
7,C12N15/82
8,A61K31/455
9,A61P29/00
10,A61K35/78
11,A61K7/00
12,A61P17/00
13,C11D3/382
14,A61K36/18
15,A61K8/00
16,A61K8/96
17,A61K8/97
18,A61Q11/00
19,A61Q19/00
20,A61Q19/10
21,A61Q5/02
22,A61K36/185
23,A61P15/00
24,A61K36/00
25,A61K36/28
26,A61K9/06
27,A61K7/06
28,A61P5/00
29,A61Q5/00
30,A61Q7/00
31,A61K7/26
32,C09B61/00
33,A61K36/48
34,A61K47/46
35,A61K8/9789
36,A61K9/107
37,A61P17/02
38,A61K36/38
39,A61K36/74
40,A61K9/00
41,A61Q17/04
42,A01H4/00
43,C12N5/04
44,A01H1/02
45,A23L27/10
46,A23L27/12
47,A23L27/30
48,C11B9/00
49,A61P13/00
50,A61P13/10
51,A61K31/453
52,A61P13/02
53,A61P43/00
54,A61K31/00
55,A61K31/12
56,A61K31/202
57,A61K31/385
58,A61K31/4045
59,A61K31/405
60,A61K31/685
61,A61K36/236
62,A61K36/258
63,A61K36/488
64,A61K36/53
65,A61K36/539
66,A61K36/67
67,A61K36/69
68,A61K36/725
69,A61K36/752
70,A61K36/79
71,A61K36/81
72,A61K36/8964
73,A61K36/899
74,A61K9/48
75,A61P25/00
76,A61P25/22
77,A23L33/105
78,A61P17/14
79,A61K8/34
80,A61K8/49
81,A23L3/3472
82,A23L3/349
83,A23L3/3526
84,A23L3/3544
85,A23L3/358
86,A23L5/20
87,A23L27/00
88,A23D9/00
89,A23L33/10
90,A61K31/05
91,A61K31/353
92,A61K31/7034
93,A61K31/7048
94,A61K36/61
95,A61K47/24
96,A61K47/40
97,A61K8/14
98,A61K8/55
99,A61K8/60
100,A61K8/73
101,A61K9/127
102,A61Q19/02
103,A61Q19/08
104,C07C37/88
105,C07C39/21
106,A61K47/14
107,A61K8/06
108,A61K8/37
109,A61K9/113
110,B01J13/00
111,A61P21/00
112,A61P25/08
113,A61P25/14
114,A61P25/16
115,A61P25/18
116,A61P25/20
117,A61P25/24
118,A61P25/28
119,A61P25/32
120,A61P27/02
121,A61P9/00
122,A61P9/10
123,A61K9/08
124,A61K47/36
125,A61K47/42
126,A61K31/728
127,A61K38/39
128,A61K38/05
129,A61K47/02
130,A61K47/12
131,A61K47/18
132,A61K47/22
133,A61K8/24
134,A61K8/365
135,A61K8/41
136,A61P17/16
137,A61K31/085
138,A61P13/12
139,A61P3/00
140,A61P3/10
141,C12Q1/68
142,G01N33/15
143,G01N33/50
144,A61K31/198
145,A61K31/221
146,A61K31/7068
147,A61K36/41
148,A61K36/66
149,A61K36/77
150,C07C37/84
151,A23G3/34
152,A23L2/00
153,A23L2/38
154,A23L2/52
155,A23L2/02
156,A23L21/10
157,A23L1/30
158,A61K36/70
159,A61K31/343
160,C07C37/72
161,A61K8/35
162,C12Q1/02
163,A61P3/04
164,C12N5/077
165,A23L29/00
166,A23L29/30
167,C07D407/04
168,C12C5/02
169,A61P39/06
170,A01M1/02
171,A01M1/10
172,A01N31/02
173,A01N43/08
174,A61K7/48
175,A61Q1/00
176,A61Q1/12
177,A61K38/54
178,C12Q1/6895
179,G16B30/10
180,G16B50/00
181,A61P31/00
182,A61P31/04
183,A61P31/16
184,A61P37/04
185,A61K31/401
186,A61P3/06
187,A61P19/10
188,A61P19/00
189,A61P33/00
190,A61K31/185
191,A61P1/00
192,A61P1/04
193,A61K36/60
194,A61P13/08
195,A23L2/56
196,A23L27/24
197,C12G3/06
198,C12P1/02
199,A61K31/365
200,C07D313/06
201,A61K31/335
202,A61K31/445
203,A61K31/47
204,A61K31/52
205,A61K31/535
206,A61K38/13
207,A61P37/00
208,A61P37/06
209,C07D493/04
210,A23G1/42
211,A23G1/48
212,A23G1/00
213,A23G1/40
214,A23L33/20
215,A01H5/08
216,C12N5/00
217,C07D311/62
218,C12N5/02
219,A23G1/02
220,A23G3/48
221,C07D313/08
222,A23G1/30
223,A61P35/00
224,A61P35/02
225,A61P9/12
226,C12P17/06
227,A01H1/04
228,A01H5/10
229,A01H6/60
230,C12Q1/6827
231,A01H5/00
232,C12N15/09
233,C12N15/63
234,C12N15/87
235,C12N5/10
236,C12N
237,A61K36/31
238,A61K36/88
239,A61K47/44
240,A01H5/12
241,C05G3/60
242,C05G3/80
243,C07D493/02
244,A61K125/00
245,A61K131/00
246,A61K135/00
247,A61K36/11
248,A61K36/232
249,A61K36/486
250,A61K36/487
251,A61K36/54
252,A61K36/56
253,A61K36/889
254,A61K36/8892006
255,A61K36/896
256,A61K36/8962006
257,A61P19/02
258,A61P19/022006
259,A23G1/34
260,C05G3/00
261,B01D15/00
262,B01D53/04
263,C12C12/04
264,C11B9/02
265,C12H3/00
266,C12H3/04
267,C12H6/02
268,A61K6/04
269,A61K6/884
270,A61K31/715
271,C12P19/04
272,C12R1/91
273,A61K9/51
274,A61K7/46
275,A61Q13/00
276,A61K31/7076
277,A61K45/06
278,A61K36/14
279,A61K36/23
280,A61K36/536
281,A61K36/63
282,A61K36/73
283,A61K36/886
284,A61K36/898
285,A61K47/10
286,A61K35/06
287,A61K36/738
288,A23L33/15
289,A23L33/16
290,A61K8/02
291,A61K8/04
292,A61K8/11
293,A61K8/19
294,A61K8/63
295,A61K8/67
296,A61K8/9794
297,A23L33/00
298,A01N25/08
299,A01N65/08
300,A01N65/16
301,A01P7/02
302,A01N25/18
303,A61K36/15
304,A61K36/328
305,A61K36/534
306,A61K36/537
307,A61K36/84
308,A61K36/9068
309,B29C45/00
310,B29C48/00
311,C08G63/08
312,C08G63/183
313,C08J3/12
314,C08L97/00
315,A01N65/24
316,A61K9/10
317,A61P1/02
318,A61Q15/00
319,A61K31/437
320,A61P31/18
321,C07D471/04
322,A01G17/00
323,A01G2/30
324,B27K5/00
325,B27K5/06
326,B27M1/08
327,F26B3/00
328,A61L27/14
329,A01G2/10
330,A01G22/63
331,A01H1/00
332,A61K36/32
333,A61P17/10
334,A61P31/02
335,A61K127/00
336,A01G13/10
337,A01M1/14
338,A01M1/18
339,A01M23/00
340,C08K3/34
341,C08L7/02
342,C08L9/10
343,C12N1/12
344,C12N1/20
345,C12R1/01
346,C12R1/89
347,NAN
348,A61K31/40
349,C07D315/00
350,A61K31/35
351,A61K31/70
352,C07D309/10
353,C07H17/04
354,A01H6/10
355,C09B19/00
356,A61C8/00
357,C22C14/00
358,A61K36/24
359,A61P33/06
